index,station,sitename,unit,first_year,last_year,notes
8876,702,Nioka,,1956,1959,702 Nioka Lekwa 1956-1959
8877,703,Mont,,1956,1959,703 Mont Hawa 1956-1959
8878,704,Nioka,,1956,1959,704 Nioka Marais 1956-1959
8879,901,Lusinga,,1956,1959,901 Lusinga 1956-1959
8880,903,Rumangabo,,1956,1959,903 Rumangabo 1956-1959
8881,904,Rwindi,,1956,1959,904 Rwindi 1956-1959
8882,905,Mutsora,,1956,1959,905 Mutsora 1956-1959
8883,906,Nagero,,1956,1959,906 Nagero 1956-1959
8884,907,Mont,,1958,1959,907 Mont Delele 1958-1959
8885,1,Yangambi,1 omslag,1956,1958,1 Yangambi km 5 1956-1958
8886,2,Yangambi,1 omslag,1956,1958,2 Yangambi 1956-1958
8887,3,Yaosuka,1 omslag,1956,1958,3 Yaosuka 1956-1958
8888,4,Yaekama,1 omslag,1957,1958,4 Yaekama 1957-1958
8889,5,Yangambi,1 omslag,1958,NA,5 Yangambi Lokele 1958
8890,101,Gimbi,1 omslag,1956,1958,101 Gimbi Plateau 1956-1958
8891,102,Gimbi,1 omslag,1956,1958,102 Gimbi Vallée 1956-1958
8892,103,Kondo,1 omslag,1956,1958,103 Kondo 1956-1958
8893,104,Luki,1 omslag,1956,1958,104 Luki Plateau 1956-1958
8894,105,Luki,1 omslag,1956,1958,105 Luki Vallée 1956-1958
8895,106,Mvuazi,1 omslag,1956,1958,106 Mvuazi Poste 1956-1958
8896,107,Mvuazi,1 omslag,1956,1958,107 Mvuazi Vallée 1956-1958
8897,109,Zomfi,1 stuk,1956,NA,109 Zomfi SAL 1956
8898,201,Gazi,1 omslag,1956,1958,201 Gazi 1956-1958
8899,202,Yaligimba,1 omslag,1956,1958,202 Yaligimba 1956-1958
8900,203,Binga,1 omslag,1956,1958,203 Binga 1956-1958
8901,204,Bongabo,1 omslag,1956,1958,204 Bongabo 1956-1958
8902,205,Eala,1 omslag,1956,1958,205 Eala 1956-1958
8903,206,Mukumari,1 omslag,1956,1958,206 Mukumari 1956-1958
8904,207,Bokondji,1 omslag,1956,1958,207 Bokondji 1956-1958
8905,210,Bembelota,1 omslag,1957,1958,210 Bembelota 1957-1958
8906,301,Bambesa,1 omslag,1956,1958,301 Bambesa 1956-1958
8907,302,Boketa,1 omslag,1956,1958,302 Boketa 1956-1958
8908,303,Tukpwo,1 omslag,1956,1958,303 Tukpwo 1956-1958
8909,304,Kutubongo,1 omslag,1956,1958,304 Kutubongo 1956-1958
8910,305,Magombo,1 omslag,1956,1958,305 Magombo 1956-1958
8911,401,Lubarika,1 omslag,1956,1958,401 Lubarika 1956-1958
8912,402,Kiyaka,1 omslag,1956,1958,402 Kiyaka Plateau 1956-1958
8913,403,Kiyaka,1 omslag,1956,1958,403 Kiyaka Vallée 1956-1958
8914,405,Gandajika,1 omslag,1956,1958,405 Gandajika 1956-1958
8915,406,Kibangula,1 omslag,1956,1958,406 Kibangula 1956-1958
8916,501,Keyberg,1 omslag,1956,1958,501 Keyberg Plateau 1956-1958
8917,502,Keyberg,1 omslag,1956,1958,502 Keyberg Verger 1956-1958
8918,503,Kaniama,1 omslag,1956,1958,503 Kaniama 1956-1958
8919,504,Kipopo,1 omslag,1956,1958,504 Kipopo 1956-1958
8920,505,Simama,1 omslag,1956,1958,505 Simama 1956-1958
8921,601,Mole,1 omslag,1956,1958,601 Mole 1956-1958
8922,602,Nyamunyunye,1 omslag,1956,1958,602 Nyamunyunye 1956-1958
8923,603,Tshibinda,1 omslag,1956,1958,603 Tshibinda 1956-1958
8924,604,Mulungu,1 omslag,1956,1958,604 Mulungu Kanonzi 1956-1958
8925,606,Kisuma,1 omslag,1956,1958,606 Kisuma 1956-1958
8926,607,Ndihira,1 omslag,1956,1958,607 Ndihira 1956-1958
8927,701,Nioka,1 omslag,1956,1958,701 Nioka Drusi 1956-1958
8928,702,Nioka,1 omslag,1956,1958,702 Nioka Lekwa 1956-1958
8929,703,Mont,1 omslag,1956,1958,703 Mont Hawa 1956-1958
8930,704,Nioka,1 omslag,1956,1958,704 Nioka Marais 1956-1958
8931,801,Kisozi,1 omslag,1956,1958,801 Kisozi Colline 1956-1958
8932,802,Kisozi,1 omslag,1956,1958,802 Kisozi Marais 1956-1958
8933,803,Luvironza,1 omslag,1956,1958,803 Luvironza 1956-1958
8934,804,Musasa,1 omslag,1956,1958,804 Musasa Plateau 1956-1958
8935,805,Musasa,1 omslag,1956,NA,805 Musasa Marais 1956
8936,806,Rubona,1 omslag,1956,1958,806 Rubona Colline 1956-1958
8937,807,Rubona,1 omslag,1956,1958,807 Rubona Marais 1956-1958
8938,901,Lusinga,1 omslag,1956,1958,901 Lusinga 1956-1958
8939,902,Gabiro,1 omslag,1956,1958,902 Gabiro 1956-1958
8940,903,Rumangabo,1 omslag,1956,1958,903 Rumangabo 1956-1958
8941,904,Rwindi,1 omslag,1956,1958,904 Rwindi 1956-1958
8942,905,Mutsora,1 omslag,1956,1958,905 Mutsora 1956-1958
8943,906,Nagero,1 omslag,1956,1958,906 Nagero 1956-1958
8944,907,Mont,1 omslag,1958,NA,907 Mont Delele 1958
8945,001,Yangambi,1 pak,1956,1959,001 Yangambi Km 5 1956-1959
8946,002,Yangambi,1 omslag,1952,1955,002 Yangambi ECP 1952-1955
8947,002,Yangambi,1 pak,1956,1959,002 Yangambi ECP 1956-1959
8948,4,Yaekama,1 omslag,1957,1959,4 Yaekama 1957-1959
8949,5,Yangambi,1 omslag,1958,1959,5 Yangambi Lokele 1958-1959
8950,101,Gimbi,1 omslag,1953,1955,101 Gimbi Plateau 1953-1955
8951,101,Gimbi,1 pak,1956,1959,101 Gimbi Plateau 1956-1959
8952,103,Kondo,1 omslag,1953,1955,103 Kondo 1953-1955
8953,103,Kondo,1 pak,1956,1959,103 Kondo 1956-1959
8954,104,Luki,1 omslag,1953,1955,104 Luki Colline 1953-1955
8955,104,Luki,1 pak,1956,1959,104 Luki Plateau 1956-1959
8956,106,Mvuazi,1 omslag,1953,1955,106 Mvuazi Poste 1953-1955
8957,106,Mvuazi,1 pak,1956,1959,106 Mvuazi Poste 1956-1959
8958,202,Yaligimba,1 omslag,1953,1959,202 Yaligimba 1953-1959
8959,204,Bongabo,1 omslag,1953,1955,204 Bongabo 1953-1955
8960,204,Bongabo,1 omslag,1956,1959,204 Bongabo 1956-1959
8961,205,Eala,1 omslag,1953,1955,205 Eala 1953-1955
8962,205,Eala,1 omslag,1956,1959,205 Eala 1956-1959
8963,206,Mukumari,1 omslag,1953,1959,206 Mukumari 1953-1959
8964,207,Bokondji,1 omslag,1955,1959,207 Bokondji 1955-1959
8965,301,Bambesa,1 omslag,1953,1955,301 Bambesa 1953-1955
8966,301,Bambesa,1 omslag,1956,1959,301 Bambesa 1956-1959
8967,302,Boketa,1 omslag,1953,1955,302 Boketa 1953-1955
8968,302,Boketa,1 omslag,1956,1959,302 Boketa 1956-1959
8969,401,Lubarika,1 omslag,1953,1959,401 Lubarika 1953-1959
8970,402,Kiyaka,1 omslag,1953,1955,402 Kiyaka Plateau 1953-1955
8971,402,Kiyaka,1 omslag,1956,1959,402 Kiyaka Plateau 1956-1959
8972,404,Bena,1 omslag,1959,NA,404 Bena Longo 1959
8973,405,Ganadjika,1 omslag,1953,1955,405 Ganadjika 1953-1955
8974,405,Gandajika,1 omslag,1956,1959,405 Gandajika 1956-1959
8975,406,Kibangula,1 omslag,1954,1955,406 Kibangula 1954-1955
8976,406,Kibangula,1 omslag,1956,1959,406 Kibangula 1956-1959
8977,501,Keyberg,1 omslag,1954,1955,501 Keyberg Poste 1954-1955
8978,501,Keyberg,1 omslag,1956,1959,501 Keyberg Plateau 1956-1959
8979,503,Kaniama,1 omslag,1954,1955,503 Kaniama 1954-1955
8980,503,Kaniama,1 omslag,1956,1959,503 Kaniama 1956-1959
8981,505,Simama,1 omslag,1956,1959,505 Simama 1956-1959
8982,601,Mole,1 omslag,1953,1955,601 Mole 1953-1955
8983,601,Mole,1 omslag,1956,1959,601 Mole 1956-1959
8984,603,Tshibinda,1 omslag,1953,1955,603 Tshibinda 1953-1955
8985,603,Tshibinda,1 omslag,1956,1959,603 Tshibinda 1956-1959
8986,701,Nioka,1 omslag,1953,1955,701 Nioka Drusi 1953-1955
8987,701,Nioka,1 omslag,1956,1959,701 Nioka Drusi 1956-1959
8988,703,Mont,1 omslag,1953,1955,703 Mont Hawa 1953-1955
8989,703,Mont,1 omslag,1956,1959,703 Mont Hawa 1956-1959
8990,801,Kisozi,1 omslag,1954,1955,801 Kisozi Colline 1954-1955
8991,801,Kisozi,1 omslag,1956,1959,801 Kisozi Colline 1956-1959
8992,804,Musasa,1 omslag,1954,1955,804 Musasa Colline 1954-1955
8993,804,Musasa,1 omslag,1956,1959,804 Musasa Plateau 1956-1959
8994,806,Rubona,1 omslag,1956,1959,806 Rubona Colline 1956-1959
8995,001,Yangambi,,1954,1955,001 Yangambi km 5 1954-1955
8996,002,Yangambi,,1954,1955,002 Yangambi ECP 1954-1955
8997,003,Yaosuka,,1954,1955,003 Yaosuka 1954-1955
8998,101,Gimbi,,1953,1955,101 Gimbi Plateau 1953-1955
8999,102,Gimbi,,1953,1955,102 Gimbi Vallée 1953-1955
9000,103,Kondo,,1953,1955,103 Kondo 1953-1955
9001,104,Luki,,1953,1955,104 Luki Plateau 1953-1955
9002,105,Luki,,1954,1955,105 Luki Vallée 1954-1955
9003,106,Mvuazi,,1953,1955,106 Mvuazi Poste 1953-1955
9004,107,Mvuazi,,1953,1955,107 Mvuazi Vallée 1953-1955
9005,108,Banza,,1954,NA,108 Banza-Pangu 1954
9006,202,Yaligimba,,1952,1955,202 Yaligimba 1952-1955
9007,203,Binga,,1952,1955,203 Binga 1952-1955
9008,204,Bongabo,,1952,1955,204 Bongabo 1952-1955
9009,205,Eala,,1953,1955,205 Eala 1953-1955
9010,206,Mukumari,,1953,1955,206 Mukumari 1953-1955
9011,207,Bokondji,,1955,NA,207 Bokondji 1955
9012,302,Boketa,,1952,1955,302 Boketa 1952-1955
9013,303,Tukpwo,,1954,1955,303 Tukpwo 1954-1955
9014,304,Kutubongo, ,1954,1955,304 Kutubongo 1954-1955 Toelichting: betreft ook meetgegevens van insolatie of aantal uren zonneschijn voor 1955
9015,403,Kiyaka,,1953,1955,403 Kiyaka Vallée 1953-1955
9016,404,Kiyaka,,1953,1955,404 Kiyaka Plateau 1953-1955
9017,404,Bena,,1954,1955,404 Bena Longo 1954-1955
9018,405,Gandajika,,1953,1955,405 Gandajika 1953-1955
9019,406,Kibangula,,1954,1955,406 Kibangula 1954-1955
9020,501,Keyberg,,1954,1955,501 Keyberg-Poste 1954-1955
9021,502,Keyberg,,1954,1955,502 Keyberg-Verger 1954-1955
9022,503,Kaniama,,1954,1955,503 Kaniama 1954-1955
9023,605,Mont,,1954,1955,605 Mont-Bukulamisa 1954-1955
9024,606,Kisuma,,1955,NA,606 Kisuma 1955
9025,607,Ndihira,,1955,NA,607 Ndihira 1955
9026,801,Kisozi,,1954,1955,801 Kisozi-Colline 1954-1955
9027,802,Kisozi,,1954,1955,802 Kisozi-Marais 1954-1955
9028,803,Luvironza,,1954,1955,803 Luvironza 1954-1955
9029,804,Musasa,,1954,1955,804 Musasa-Colline 1954-1955
9030,805,Musasa,,1955,NA,805 Musasa 1955
9031,806,Rubona,,1954,1955,806 Rubona Colline 1954-1955
9032,807,Rubona,,1954,1955,807 Rubona Marais 1954-1955
9033,901,Lusinga,,1954,1955,901 Lusinga 1954-1955
9034,902,Gabiro,,1954,1955,902 Gabiro 1954-1955
9035,903,Rumangabo,,1955,NA,903 Rumangabo 1955
9036,904,Rwindi,,1954,1955,904 Rwindi 1954-1955
9037,905,Mutsora,,1955,NA,905 Mutsora 1955
9038,001,Yangambi,1 omslag,1950,1955,001 Yangambi 6u 1950-1955
9039,001,Yangambi,1 omslag,1950,1955,001 Yangambi 12u 1950-1955
9040,001,Yangambi,1 omslag,1950,1955,001 Yangambi 18u 1950-1955
9041,002,Yangambi,1 omslag,1951,1955,002 Yangambi Essai Commun 6u 1951-1955
9042,002,Yangambi,1 omslag,1951,1955,002 Yangambi Essai Commun 9u 1951-1955
9043,002,Yangambi,1 omslag,1951,1955,002 Yangambi Essai Commun 12u 1951-1955
9044,002,Yangambi,1 omslag,1951,1955,002 Yangambi Essai Commun 15u 1951-1955
9045,002,Yangambi,1 omslag,1951,1955,002 Yangambi Essai Commun 18u 1951-1955
9046,003,Yaosuka,1 omslag,1951,1955,003 Yaosuka 6u 1951-1955
9047,003,Yaosuka,1 omslag,1951,1955,003 Yaosuka 9u 1951-1955
9048,003,Yaosuka,1 omslag,1951,1955,003 Yaosuka 12u 1951-1955
9049,003,Yaosuka,,NA,NA,003 Yaosuka 15u
